year,rank,nation,gold,silver,bronze,total,all_total,all_gold,all_silver,all_bronze,prop_total,prop_gold,prop_silver,prop_bronze
1998,29,Macau,0,1,0,1,1226,378,381,467,8.156606851549756e-4,0,0.0026246719160104987,0
1998,30,Bangladesh,0,0,1,1,1226,378,381,467,8.156606851549756e-4,0,0,0.0021413276231263384
1998,NA,Brunei,0,0,1,1,1226,378,381,467,8.156606851549756e-4,0,0,0.0021413276231263384
1998,NA,Laos,0,0,1,1,1226,378,381,467,8.156606851549756e-4,0,0,0.0021413276231263384
1998,NA,Oman,0,0,1,1,1226,378,381,467,8.156606851549756e-4,0,0,0.0021413276231263384
2002,1,China,150,84,74,308,1350,427,421,502,0.22814814814814816,0.351288056206089,0.1995249406175772,0.14741035856573706
2002,2,South Korea,96,80,84,260,1350,427,421,502,0.1925925925925926,0.22482435597189696,0.19002375296912113,0.16733067729083664
2002,3,Japan,44,74,72,190,1350,427,421,502,0.14074074074074075,0.10304449648711944,0.17577197149643706,0.14342629482071714
2002,4,Kazakhstan,20,26,30,76,1350,427,421,502,0.056296296296296296,0.0468384074941452,0.06175771971496437,0.05976095617529881
2002,5,Uzbekistan,15,12,24,51,1350,427,421,502,0.03777777777777778,0.0351288056206089,0.028503562945368172,0.04780876494023904
2002,6,Thailand,14,19,10,43,1350,427,421,502,0.03185185185185185,0.03278688524590164,0.04513064133016627,0.0199203187250996
2002,7,Chinese Taipei,10,17,25,52,1350,427,421,502,0.03851851851851852,0.0234192037470726,0.040380047505938245,0.049800796812749
2002,8,India,10,12,13,35,1350,427,421,502,0.025925925925925925,0.0234192037470726,0.028503562945368172,0.025896414342629483
2002,9,North Korea,9,11,13,33,1350,427,421,502,0.024444444444444446,0.02107728337236534,0.026128266033254157,0.025896414342629483
2002,10,Iran,8,14,14,36,1350,427,421,502,0.02666666666666667,0.01873536299765808,0.0332541567695962,0.027888446215139442
2002,11,Saudi Arabia,7,1,1,9,1350,427,421,502,0.006666666666666667,0.01639344262295082,0.0023752969121140144,0.00199203187250996
2002,12,Malaysia,6,8,16,30,1350,427,421,502,0.022222222222222223,0.01405152224824356,0.019002375296912115,0.03187250996015936
2002,13,Singapore,5,2,10,17,1350,427,421,502,0.012592592592592593,0.0117096018735363,0.004750593824228029,0.0199203187250996
2002,14,Indonesia,4,7,12,23,1350,427,421,502,0.017037037037037038,0.00936768149882904,0.0166270783847981,0.02390438247011952
2002,15,Vietnam,4,7,7,18,1350,427,421,502,0.013333333333333334,0.00936768149882904,0.0166270783847981,0.013944223107569721
2002,16,Hong Kong,4,6,11,21,1350,427,421,502,0.015555555555555555,0.00936768149882904,0.014251781472684086,0.021912350597609563
2002,17,Qatar,4,5,8,17,1350,427,421,502,0.012592592592592593,0.00936768149882904,0.011876484560570071,0.01593625498007968
2002,18,Philippines,3,7,16,26,1350,427,421,502,0.01925925925925926,0.00702576112412178,0.0166270783847981,0.03187250996015936
2002,19,Bahrain,3,2,2,7,1350,427,421,502,0.005185185185185185,0.00702576112412178,0.004750593824228029,0.00398406374501992
2002,20,Kyrgyzstan,2,4,6,12,1350,427,421,502,0.008888888888888889,0.00468384074941452,0.009501187648456057,0.01195219123505976
2002,21,Kuwait,2,1,5,8,1350,427,421,502,0.005925925925925926,0.00468384074941452,0.0023752969121140144,0.0099601593625498
2002,22,Sri Lanka,2,1,3,6,1350,427,421,502,0.0044444444444444444,0.00468384074941452,0.0023752969121140144,0.00597609561752988
2002,23,Pakistan,1,6,6,13,1350,427,421,502,0.00962962962962963,0.00234192037470726,0.014251781472684086,0.01195219123505976
2002,24,Myanmar,1,5,6,12,1350,427,421,502,0.008888888888888889,0.00234192037470726,0.011876484560570071,0.01195219123505976
2002,25,Turkmenistan,1,2,1,4,1350,427,421,502,0.002962962962962963,0.00234192037470726,0.004750593824228029,0.00199203187250996
2002,26,Mongolia,1,1,12,14,1350,427,421,502,0.01037037037037037,0.00234192037470726,0.0023752969121140144,0.02390438247011952
2002,27,Lebanon,1,0,0,1,1350,427,421,502,7.407407407407407e-4,0.00234192037470726,0,0
2002,28,Tajikistan,0,2,4,6,1350,427,421,502,0.0044444444444444444,0,0.004750593824228029,0.00796812749003984
2002,29,Macau,0,2,2,4,1350,427,421,502,0.002962962962962963,0,0.004750593824228029,0.00398406374501992
2002,30,United Arab Emirates,0,2,1,3,1350,427,421,502,0.0022222222222222222,0,0.004750593824228029,0.00199203187250996
2002,31,Bangladesh,0,1,0,1,1350,427,421,502,7.407407407407407e-4,0,0.0023752969121140144,0
2002,32,Nepal,0,0,3,3,1350,427,421,502,0.0022222222222222222,0,0,0.00597609561752988
2002,NA,Syria,0,0,3,3,1350,427,421,502,0.0022222222222222222,0,0,0.00597609561752988
2002,34,Jordan,0,0,2,2,1350,427,421,502,0.0014814814814814814,0,0,0.00398406374501992
2002,NA,Laos,0,0,2,2,1350,427,421,502,0.0014814814814814814,0,0,0.00398406374501992
2002,36,Afghanistan,0,0,1,1,1350,427,421,502,7.407407407407407e-4,0,0,0.00199203187250996
2002,NA,Brunei,0,0,1,1,1350,427,421,502,7.407407407407407e-4,0,0,0.00199203187250996
2002,NA,Palestine,0,0,1,1,1350,427,421,502,7.407407407407407e-4,0,0,0.00199203187250996
2002,NA,Yemen,0,0,1,1,1350,427,421,502,7.407407407407407e-4,0,0,0.00199203187250996
2006,1,China,166,87,63,316,1393,428,423,542,0.22684852835606603,0.3878504672897196,0.20567375886524822,0.11623616236162361
2006,2,South Korea,58,53,82,193,1393,428,423,542,0.13854989231873654,0.13551401869158877,0.12529550827423167,0.15129151291512916
2006,3,Japan,50,71,79,200,1393,428,423,542,0.14357501794687724,0.11682242990654206,0.16784869976359337,0.14575645756457564
2006,4,Kazakhstan,23,20,42,85,1393,428,423,542,0.061019382627422826,0.053738317757009345,0.04728132387706856,0.07749077490774908
2006,5,Thailand,13,15,26,54,1393,428,423,542,0.038765254845656856,0.030373831775700934,0.03546099290780142,0.04797047970479705
2006,6,Iran,11,15,22,48,1393,428,423,542,0.03445800430725054,0.02570093457943925,0.03546099290780142,0.04059040590405904
2006,7,India,10,18,26,54,1393,428,423,542,0.038765254845656856,0.02336448598130841,0.0425531914893617,0.04797047970479705
2006,8,Uzbekistan,10,14,14,38,1393,428,423,542,0.027279253409906678,0.02336448598130841,0.03309692671394799,0.025830258302583026
2006,9,Qatar,9,12,11,32,1393,428,423,542,0.02297200287150036,0.02102803738317757,0.028368794326241134,0.02029520295202952
2006,10,Chinese Taipei,9,10,27,46,1393,428,423,542,0.033022254127781765,0.02102803738317757,0.02364066193853428,0.04981549815498155
2006,11,Malaysia,8,17,17,42,1393,428,423,542,0.03015075376884422,0.018691588785046728,0.04018912529550828,0.03136531365313653
2006,12,Singapore,8,7,12,27,1393,428,423,542,0.019382627422828428,0.018691588785046728,0.016548463356973995,0.02214022140221402
2006,13,Saudi Arabia,8,0,6,14,1393,428,423,542,0.010050251256281407,0.018691588785046728,0,0.01107011070110701
2006,14,Bahrain,7,9,4,20,1393,428,423,542,0.014357501794687724,0.016355140186915886,0.02127659574468085,0.007380073800738007
2006,15,Hong Kong,6,12,10,28,1393,428,423,542,0.020100502512562814,0.014018691588785047,0.028368794326241134,0.01845018450184502
2006,16,North Korea,6,9,16,31,1393,428,423,542,0.022254127781765973,0.014018691588785047,0.02127659574468085,0.02952029520295203
